Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Dire Dawa & Harrar;Ethiopia;;346000;8;55;;X;;Dire Dawa & Harrar,Ethiopia,346000,8,55,,X,
Diyarbakir;Türkiye;;630253;5;10;;X;;Diyarbakir,Türkiye,630253,5,10,,X,
Djelfa;Algeria;;154265;6;11;;;;Djelfa,Algeria,154265,6,11,,,
Djibouti;Djibouti;;600000;3;21;X;;;Djibouti,Djibouti,600000,3,21,X,,
Djibouti Naval Base;India: Central;India;1500;3;11;;;;Djibouti Naval Base,India: Central,1500,3,11,,,
Dnipro;Ukraine;;993220;7;14;X;X;;Dnipro,Ukraine,993220,7,14,X,X,
Dobo;Indonesia;;108835;2;11;X;;;Dobo,Indonesia,108835,2,11,X,,
Dodoma;Tanzania;;410946;3;10;;;;Dodoma,Tanzania,410946,3,10,,,
Doha;Qatar;;339847;10;62;X;;;Doha,Qatar,339847,10,62,X,,
Doha Military bases;Qatar;;5000;10;11;;;;Doha Military bases,Qatar,5000,10,11,,,
Dolisie;Republic of the Congo;;103894;1;11;;;;Dolisie,Republic of the Congo,103894,1,11,,,
Domna air base;Russia: Central;;1000;2;11;;;;Domna air base,Russia: Central,1000,2,11,,,
Donetsk;Russia: Central;;918536;7;11;;;;Donetsk,Russia: Central,918536,7,11,,,
Dongying;China: Jinan;;2194000;4;11;X;;;Dongying,China: Jinan,2194000,4,11,X,,
Donskoye air base;Russia: Central;;2000;8;20;;;;Donskoye air base,Russia: Central,2000,8,20,,,
Doraleh Multi-purpose Port;China: Hebei;;3000;3;20;;;;Doraleh Multi-purpose Port,China: Hebei,3000,3,20,,,
Dornbirn & Bregenz;Austria;;78749;6;11;;;;Dornbirn & Bregenz,Austria,78749,6,11,,,
Douala;Cameroon;;2768400;6;65;X;X;;Douala,Cameroon,2768400,6,65,X,X,
Dover;USA: Delaware;USA;152255;1;21;X;;;Dover,USA: Delaware,152255,1,21,X,,
Dubai;United Arab Emirates;;2262000;10;171;X;;;Dubai,United Arab Emirates,2262000,10,171,X,,
Dublin;Ireland;;1045769;7;113;X;;;Dublin,Ireland,1045769,7,113,X,,
Dubrovnik;Croatia;;41562;8;11;X;;;Dubrovnik,Croatia,41562,8,11,X,,
Dunedin;New Zealand;;126000;5;18;X;;;Dunedin,New Zealand,126000,5,18,X,,
Durban;South Africa;;3878086;8;98;X;;;Durban,South Africa,3878086,8,98,X,,
Durres;Albania;;122034;4;11;X;;;Durres,Albania,122034,4,11,X,,
Dushanbe;Tajikistan;;679400;6;13;;;;Dushanbe,Tajikistan,679400,6,13,,,
Düsseldorf;Germany;;631217;7;150;;;;Düsseldorf,Germany,631217,7,150,,,
East London;South Africa;;478676;5;11;X;;;East London,South Africa,478676,5,11,X,,
Easter Island;Chile;;7750;2;11;X;;;Easter Island,Chile,7750,2,11,X,,
Eastern Military Outpost;Myanmar;;2000;10;11;;;;Eastern Military Outpost,Myanmar,2000,10,11,,,
Eastern Theather Command HQ;China: Hebei;;7000;10;11;;;;Eastern Theather Command HQ,China: Hebei,7000,10,11,,,
Ech Chettia & Chlef;Algeria;;346571;8;11;;;;Ech Chettia & Chlef,Algeria,346571,8,11,,,
Edmonton;Canada: Alberta;;1418118;6;71;;;;Edmonton,Canada: Alberta,1418118,6,71,,,
Eilat;Israel;;52299;10;37;X;X;;Eilat,Israel,52299,10,37,X,X,
Ejercíto Argentino Base De Apoyo;Argentina;;3500;10;11;;;;Ejercíto Argentino Base De Apoyo,Argentina,3500,10,11,,,
Ekarma;Russia: Kuril Islands;;350000;1;10;X;X;;Ekarma,Russia: Kuril Islands,350000,1,10,X,X,
Ekaterinburg;Russia: Ural;;1293537;9;159;;;;Ekaterinburg,Russia: Ural,1293537,9,159,,,
El Goléa;Algeria;;1400000;4;11;;;;El Goléa,Algeria,1400000,4,11,,,
El Obeid;Sudan;;393311;3;11;;;;El Obeid,Sudan,393311,3,11,,,
El Paso;USA: Texas;USA;868859;4;25;;;;El Paso,USA: Texas,868859,4,25,,,
El Pato Air Base;Peru;;200;10;11;;;;El Pato Air Base,Peru,200,10,11,,,
Elbasan;Albania;;100903;4;11;;;;Elbasan,Albania,100903,4,11,,,
Eldoret;Kenya;;218446;5;11;;;;Eldoret,Kenya,218446,5,11,,,
Elko;USA: Nevada;USA;20564;1;1;;X;;Elko,USA: Nevada,20564,1,1,,X,
Encarnacion;Paraguay;;74983;4;11;;;;Encarnacion,Paraguay,74983,4,11,,,
Erdenet;Mongolia;;79649;1;11;;;;Erdenet,Mongolia,79649,1,11,,,
Erebuni air base;Russia: Central;;1000;2;11;;;;Erebuni air base,Russia: Central,1000,2,11,,,
Esbjerg;Denmark;;72205;5;11;;;;Esbjerg,Denmark,72205,5,11,,,
Esfahan;Iran;;1583609;3;23;;;;Esfahan,Iran,1583609,3,23,,,
Evora;Portugal;;55620;10;11;;;;Evora,Portugal,55620,10,11,,,
Expeditionary Warfare Base;United Kingdom;;650;2;15;X;;;Expeditionary Warfare Base,United Kingdom,650,2,15,X,,
Fairbanks;USA: Alaska;USA;32107;2;20;;;;Fairbanks,USA: Alaska,32107,2,20,,,
Faisalabad;Pakistan;;3305204;8;11;;;;Faisalabad,Pakistan,3305204,8,11,,,
Falkland Islands;United Kingdom;;2840;2;11;X;;;Falkland Islands,United Kingdom,2840,2,11,X,,
Fargo;USA: North Dakota;USA;248591;1;12;;;;Fargo,USA: North Dakota,248591,1,12,,,
Farkhor Air Base;India: Central;India;2000;4;20;;;;Farkhor Air Base,India: Central,2000,4,20,,,
Faro;Portugal;;67500;10;11;X;;;Faro,Portugal,67500,10,11,X,,
Faroe Islands;Denmark;;53090;4;42;X;;;Faroe Islands,Denmark,53090,4,42,X,,
Farquhar Islands;Seychelles;;350000;1;11;X;;;Farquhar Islands,Seychelles,350000,1,11,X,,
Fes;Morocco;;946815;4;16;;X;;Fes,Morocco,946815,4,16,,X,
Flagstaff;USA: Arizona;USA;139097;1;2;;X;;Flagstaff,USA: Arizona,139097,1,2,,X,
Florence;Italy;;358079;6;11;;;;Florence,Italy,358079,6,11,,,
Fomboni;Comoros;;18277;1;13;X;X;;Fomboni,Comoros,18277,1,13,X,X,
Fortaleza;Brazil: Northeast;;2473614;4;53;X;;;Fortaleza,Brazil: Northeast,2473614,4,53,X,,
Fortes Field;Fortes Field;;500;1;28;X;X;;Fortes Field,Fortes Field,500,1,28,X,X,
Francis Town;Botswana;;89789;1;11;;;;Francis Town,Botswana,89789,1,11,,,
Frankfort;USA: Kentucky;USA;66798;6;3;;;;Frankfort,USA: Kentucky,66798,6,3,,,
Frankfurt am Main;Germany;;651899;7;200;;;;Frankfurt am Main,Germany,651899,7,200,,,
Frederikshavn Naval Base;Denmark;;1500;8;11;X;;;Frederikshavn Naval Base,Denmark,1500,8,11,X,,
Freetown;Sierra Leone;;1070200;2;32;X;;;Freetown,Sierra Leone,1070200,2,32,X,,
French Polynesia;France;;306279;2;16;X;;;French Polynesia,France,306279,2,16,X,,
French Southern Antarctic Lands;France;;500;1;11;X;;;French Southern Antarctic Lands,France,500,1,11,X,,
Fukuoka;Japan;;1434650;5;212;X;;;Fukuoka,Japan,1434650,5,212,X,,
Funafuti;Tuvalu;;6320;1;53;X;;;Funafuti,Tuvalu,6320,1,53,X,,
Fuvahmulah;Maldives;;13037;1;14;X;X;;Fuvahmulah,Maldives,13037,1,14,X,X,
Fuzhou;China: Fujian;;4094491;10;155;X;;;Fuzhou,China: Fujian,4094491,10,155,X,,
Gabes;Tunisia;;110075;4;11;X;;;Gabes,Tunisia,110075,4,11,X,,
Gabon Military base;France;;450;2;10;X;;;Gabon Military base,France,450,2,10,X,,
Gaborone;Botswana;;258411;3;31;;;;Gaborone,Botswana,258411,3,31,,,
Galati & Braila;Romania;;607656;6;11;X;;;Galati & Braila,Romania,607656,6,11,X,,
Galle;Sri Lanka;;1400000;4;11;;;;Galle,Sri Lanka,1400000,4,11,,,
Galápagos;Ecuador;;12000;4;6;X;X;;Galápagos,Ecuador,12000,4,6,X,X,
Gambela;Ethiopia;;42366;5;11;;;;Gambela,Ethiopia,42366,5,11,,,
Gan;Maldives;;11587;1;22;X;X;;Gan,Maldives,11587,1,22,X,X,
Gangneung;South Korea;;216000;10;11;X;;;Gangneung,South Korea,216000,10,11,X,,
Ganja;Azerbaijan;;313310;6;11;;;;Ganja,Azerbaijan,313310,6,11,,,
Gao;Mali;;87000;1;25;;X;;Gao,Mali,87000,1,25,,X,
Garissa;Kenya;;67861;2;11;;;;Garissa,Kenya,67861,2,11,,,
Garoua;Cameroon;;436899;3;11;;;;Garoua,Cameroon,436899,3,11,,,
Garowe;Puntland;;350000;2;11;;;;Garowe,Puntland,350000,2,11,,,
Gdansk & Gdynia;Poland;;487238;10;27;X;;;Gdansk & Gdynia,Poland,487238,10,27,X,,
Genoa;Italy;;586180;8;11;X;;;Genoa,Italy,586180,8,11,X,,
Gent;Belgium;;231493;8;11;;;;Gent,Belgium,231493,8,11,,,
Genève;Switzerland;;183191;10;11;;;;Genève,Switzerland,183191,10,11,,,
George;South Africa;;160980;4;11;X;;;George,South Africa,160980,4,11,X,,
Georgetown;Guyana;;310320;2;27;X;;;Georgetown,Guyana,310320,2,27,X,,
Georgian Military nase;Russia: Central;;1000;4;11;;;;Georgian Military nase,Russia: Central,1000,4,11,,,
Geraldton;Australia: Western;;37648;1;22;X;;;Geraldton,Australia: Western,37648,1,22,X,,
Gibraltar;United Kingdom;;32649;4;11;X;;;Gibraltar,United Kingdom,32649,4,11,X,,
Glarris Field;Glarris Field;;500;1;28;X;X;;Glarris Field,Glarris Field,500,1,28,X,X,
Glasgow;United Kingdom;;1168270;5;36;X;;;Glasgow,United Kingdom,1168270,5,36,X,,
Goiânia;Brazil: Mato Grosso;;2654860;4;41;;X;;Goiânia,Brazil: Mato Grosso,2654860,4,41,,X,
Gomel;Belarus;;527886;7;13;;;;Gomel,Belarus,527886,7,13,,,
Gondar;Ethiopia;;378331;5;17;;;;Gondar,Ethiopia,378331,5,17,,,
Gothenburg;Sweden;;937015;8;115;X;;;Gothenburg,Sweden,937015,8,115,X,,
Gowurdak;Turkmenistan;;34745;8;11;;;;Gowurdak,Turkmenistan,34745,8,11,,,
Grand Island;USA: Nebraska;USA;68305;1;2;;X;;Grand Island,USA: Nebraska,68305,1,2,,X,
Graz;Austria;;311540;6;17;;X;;Graz,Austria,311540,6,17,,X,
Great Nicobar;India: South;India;8523;4;11;;;;Great Nicobar,India: South,8523,4,11,,,
Green Bay;USA: Wisconsin;USA;320050;1;31;X;X;;Green Bay,USA: Wisconsin,320050,1,31,X,X,
Guadalajara;Mexico;;5002466;10;67;;;;Guadalajara,Mexico,5002466,10,67,,,
Guadeloupe;France;;409905;2;11;X;;;Guadeloupe,France,409905,2,11,X,,
Guam;USA: Virginia;USA;4000;5;20;X;;;Guam,USA: Virginia,4000,5,20,X,,
Guangzhou;China: Guangdong;;10045800;7;259;;;;Guangzhou,China: Guangdong,10045800,7,259,,,
Guantanamo Bay;USA: Virginia;USA;2500;4;15;X;;;Guantanamo Bay,USA: Virginia,2500,4,15,X,,
Guatemala City;Guatemala;;5103685;8;91;;;;Guatemala City,Guatemala,5103685,8,91,,,
Guayaquil;Ecuador;;2253321;8;52;X;;;Guayaquil,Ecuador,2253321,8,52,X,,
Guernsey;Crown Dependencies;;50000;1;40;X;;;Guernsey,Crown Dependencies,50000,1,40,X,,
Guiana Space Centre;France;;3000;7;20;;X;;Guiana Space Centre,France,3000,7,20,,X,
Guilin;China: Guangdong;;2148641;4;47;;X;;Guilin,China: Guangdong,2148641,4,47,,X,
Guiyang;China: Chengdu;;3450000;3;88;;;;Guiyang,China: Chengdu,3450000,3,88,,,
Gujranwala;Pakistan;;242031;8;11;;;;Gujranwala,Pakistan,242031,8,11,,,
Gulu;Uganda;;150356;3;11;;;;Gulu,Uganda,150356,3,11,,,
Guna;India: Central;India;1241519;8;66;;X;;Guna,India: Central,1241519,8,66,,X,
Guwahati;India: East;India;957352;8;98;;X;;Guwahati,India: East,957352,8,98,,X,
Gwangju;South Korea;;1415953;10;69;;X;;Gwangju,South Korea,1415953,10,69,,X,
Gyor;Hungary;;128265;8;11;;;;Gyor,Hungary,128265,8,11,,,
H-2 Air Base;Iraq;;1500;6;11;;;;H-2 Air Base,Iraq,1500,6,11,,,
H-4 & Prince Hassan Air Base;Jordan;;3000;8;11;;;;H-4 & Prince Hassan Air Base,Jordan,3000,8,11,,,
HMAS Coonawarra;Australia: NSW;;3500;6;11;X;;;HMAS Coonawarra,Australia: NSW,3500,6,11,X,,
HMAS Moreton;Australia: NSW;;3500;6;11;X;;;HMAS Moreton,Australia: NSW,3500,6,11,X,,
Ha'il;Saudi Arabia;;267005;3;11;;;;Ha'il,Saudi Arabia,267005,3,11,,,
Haci Zeynalabdin airbase;Türkiye;;1000;2;11;;;;Haci Zeynalabdin airbase,Türkiye,1000,2,11,,,
Haditha;Iraq;;90000;5;11;;;;Haditha,Iraq,90000,5,11,,,
Haerbin;China: Jilin;;5475000;4;106;;;;Haerbin,China: Jilin,5475000,4,106,,,
Hafar Al-Batin;Saudi Arabia;;271642;7;11;;;;Hafar Al-Batin,Saudi Arabia,271642,7,11,,,
Haikou;China: Guangdong;;830192;6;21;X;;;Haikou,China: Guangdong,830192,6,21,X,,
Haiphong;Vietnam;;602695;7;11;X;;;Haiphong,Vietnam,602695,7,11,X,,
Halifax;Canada: Quebec;;372679;3;27;X;;;Halifax,Canada: Quebec,372679,3,27,X,,
Halli Military Airport;Finland;;1000;7;11;;;;Halli Military Airport,Finland,1000,7,11,,,
Haluoleo Air Force Base;Indonesia;;3500;4;11;;;;Haluoleo Air Force Base,Indonesia,3500,4,11,,,
Hamar;Norway;;29479;7;11;;;;Hamar,Norway,29479,7,11,,,
Hamburg area;Germany;;2143627;10;250;X;;;Hamburg area,Germany,2143627,10,250,X,,
Hamhung & Hungnam;North Korea;;905138;8;11;;;;Hamhung & Hungnam,North Korea,905138,8,11,,,
Handan;China: Hebei;;2528900;6;11;;;;Handan,China: Hebei,2528900,6,11,,,
Hanoi;Vietnam;;1431889;10;49;;;;Hanoi,Vietnam,1431889,10,49,,,
Hanover;Germany;;515410;7;11;;;;Hanover,Germany,515410,7,11,,,
Harare;Zimbabwe;;1843210;7;41;;;;Harare,Zimbabwe,1843210,7,41,,,
Hargeisa;Somaliland;;700000;3;20;;;;Hargeisa,Somaliland,700000,3,20,,,
Harrisburg;USA: Pennsylvania;USA;591712;1;15;;;;Harrisburg,USA: Pennsylvania,591712,1,15,,,
Hartford;USA: Connecticut;USA;1214295;2;79;;;;Hartford,USA: Connecticut,1214295,2,79,,,
Hat Yai;Thailand;;385927;8;30;X;;;Hat Yai,Thailand,385927,8,30,X,,
Havana;Cuba;;3400000;10;91;X;;;Havana,Cuba,3400000,10,91,X,,
Hawalli & As Salimiyah;Kuwait;;311861;8;11;;;;Hawalli & As Salimiyah,Kuwait,311861,8,11,,,
Heard Island and McDonald Island;Australia: Western;;100;1;11;;;;Heard Island and McDonald Island,Australia: Western,100,1,11,,,
Hefei;China: Jiangsu;;7754481;2;147;;;;Hefei,China: Jiangsu,7754481,2,147,,,
Helena;USA: Montana;USA;83058;1;3;;;;Helena,USA: Montana,83058,1,3,,,
Helsingborg;Sweden;;104250;6;11;X;;;Helsingborg,Sweden,104250,6,11,X,,
Helsinki;Finland;;1325775;10;141;X;;;Helsinki,Finland,1325775,10,141,X,,
Heraklion;Greece;;211370;5;6;X;;;Heraklion,Greece,211370,5,6,X,,
Herat;Afghanistan;;272806;1;11;;;;Herat,Afghanistan,272806,1,11,,,
Heysan;North Korea;;250000;8;11;;;;Heysan,North Korea,250000,8,11,,,
High Mountain Army base;Argentina;;1500;7;11;;;;High Mountain Army base,Argentina,1500,7,11,,,
Hilo;USA: Hawaii;USA;201513;6;4;X;X;;Hilo,USA: Hawaii,201513,6,4,X,X,
Hiroshima;Japan;;1164885;5;183;X;X;;Hiroshima,Japan,1164885,5,183,X,X,
Ho Chi Minh;Vietnam;;4124519;10;60;X;;;Ho Chi Minh,Vietnam,4124519,10,60,X,,
Hobart;Australia: Victoria;;212000;1;32;X;;;Hobart,Australia: Victoria,212000,1,32,X,,
Hoetting & Pradl;Austria;;67631;5;11;;;;Hoetting & Pradl,Austria,67631,5,11,,,
Hohhot;China: Inner Mongolia;;2944889;5;47;;;;Hohhot,China: Inner Mongolia,2944889,5,47,,,
Homs;Syria;;775404;6;11;;;;Homs,Syria,775404,6,11,,,
Hong Kong;China: Guangdong;;7070388;10;210;X;;;Hong Kong,China: Guangdong,7070388,10,210,X,,
Honiara;Solomon Islands;;78190;1;20;X;;;Honiara,Solomon Islands,78190,1,20,X,,
Honolulu;USA: Hawaii;USA;953207;10;20;X;;;Honolulu,USA: Hawaii,953207,10,20,X,,
Houston;USA: Texas;USA;7122240;8;202;X;;;Houston,USA: Texas,7122240,8,202,X,,
Hradec Kralove;Czechia;;95195;9;11;;;;Hradec Kralove,Czechia,95195,9,11,,,
Hrodna;Belarus;;317365;8;11;;;;Hrodna,Belarus,317365,8,11,,,
Huancayo;Peru;;310750;4;11;;;;Huancayo,Peru,310750,4,11,,,
Hue;Vietnam;;287217;7;11;X;;;Hue,Vietnam,287217,7,11,X,,
Huelien City;Taiwan;;350467;10;11;X;;;Huelien City,Taiwan,350467,10,11,X,,
Hulunbuir;China: Inner Mongolia;;2536479;2;11;;;;Hulunbuir,China: Inner Mongolia,2536479,2,11,,,
Hyderabad;India: South West;India;9700000;7;122;;;;Hyderabad,India: South West,9700000,7,122,,,
Hyderabad;Pakistan;;2122144;8;11;;;;Hyderabad,Pakistan,2122144,8,11,,,
Héron Military base;France;;1700;2;20;X;;;Héron Military base,France,1700,2,20,X,,
INS Kohassa;India: South;India;1500;4;11;X;;;INS Kohassa,India: South,1500,4,11,X,,
Iași;Romania;;318012;6;11;;;;Iași,Romania,318012,6,11,,,
Ibadan;Nigeria;;3565000;6;11;;;;Ibadan,Nigeria,3565000,6,11,,,
Ibri;Oman;;101640;5;11;;;;Ibri,Oman,101640,5,11,,,
Idaho Falls;USA: Idaho;USA;145643;1;4;;X;;Idaho Falls,USA: Idaho,145643,1,4,,X,
Imam Kohmeini space center;Iran;;1400;7;20;;X;;Imam Kohmeini space center,Iran,1400,7,20,,X,
Indianapolis;USA: Indiana;USA;2111040;1;113;;;;Indianapolis,USA: Indiana,2111040,1,113,,,
Indigskaya Guba;Russia: Nenetsia West;;1000;1;15;X;X;;Indigskaya Guba,Russia: Nenetsia West,1000,1,15,X,X,
Indonesian Naval Outpost;Indonesia;;1500;6;11;X;;;Indonesian Naval Outpost,Indonesia,1500,6,11,X,,
Indore;India: Central;India;1768303;7;28;;;;Indore,India: Central,1768303,7,28,,,
Infantry Military base;Argentina;;1500;6;11;;;;Infantry Military base,Argentina,1500,6,11,,,
Invercargill;New Zealand;;51000;6;11;X;;;Invercargill,New Zealand,51000,6,11,X,,
Ipoh;Malaysia;;692101;4;26;;X;;Ipoh,Malaysia,692101,4,26,,X,
Iqaluit airbase;Canada: Ontario;;2000;3;20;;;;Iqaluit airbase,Canada: Ontario,2000,3,20,,,
Iquique;Chile;;2800000;8;11;X;;;Iquique,Chile,2800000,8,11,X,,
Iquitos;Peru;;426000;10;5;;;;Iquitos,Peru,426000,10,5,,,
Irkutsk;Russia: Siberia;;593604;3;37;;;;Irkutsk,Russia: Siberia,593604,3,37,,,
Isa Air Base;Bahrain;;2000;10;11;;;;Isa Air Base,Bahrain,2000,10,11,,,
Iskandar Region Command;Indonesia;;3500;8;11;X;;;Iskandar Region Command,Indonesia,3500,8,11,X,,
Islamabad;Pakistan;;1605000;9;43;;;;Islamabad,Pakistan,1605000,9,43,,,
Isle of Man;Crown Dependencies;;84000;1;5;X;;;Isle of Man,Crown Dependencies,84000,1,5,X,,
Istanbul;Türkiye;;11109249;9;162;X;;;Istanbul,Türkiye,11109249,9,162,X,,
Iturup;Japan;;7500;1;12;X;;;Iturup,Japan,7500,1,12,X,,
Iwo Jima;Japan;;10000;3;26;X;;;Iwo Jima,Japan,10000,3,26,X,,
Izmir;Türkiye;;2695763;8;40;X;;;Izmir,Türkiye,2695763,8,40,X,,
Izu Island;Japan;;8179;2;21;;;;Izu Island,Japan,8179,2,21,,,
JSDF base Jibuchi;Japan;;350000;2;20;X;;;JSDF base Jibuchi,Japan,350000,2,20,X,,
Jackson;USA: Mississippi;USA;576382;1;33;;;;Jackson,USA: Mississippi,576382,1,33,,,
Jacksonville;USA: Florida;USA;1733937;5;52;X;;;Jacksonville,USA: Florida,1733937,5,52,X,,
Jaeger Military bases;Finland;;2000;7;11;;;;Jaeger Military bases,Finland,2000,7,11,,,
Jaffna;Sri Lanka;;2800000;8;11;X;;;Jaffna,Sri Lanka,2800000,8,11,X,,
Jaipur;India: North West;India;2997114;8;135;;;;Jaipur,India: North West,2997114,8,135,,,
Jakarta;Indonesia;;15534410;10;154;X;;;Jakarta,Indonesia,15534410,10,154,X,,
Jalal-Abad;Kyrgyzstan;;75700;1;11;;;;Jalal-Abad,Kyrgyzstan,75700,1,11,,,
Jalan Aman Camp;Singapore;;1500;6;11;;;;Jalan Aman Camp,Singapore,1500,6,11,,,
Jamnagar;India: South West;India;479920;8;11;X;X;;Jamnagar,India: South West,479920,8,11,X,X,
Jayapura;Indonesia;;398478;2;38;X;;;Jayapura,Indonesia,398478,2,38,X,,
Jeddah;Saudi Arabia;;3976000;8;99;X;;;Jeddah,Saudi Arabia,3976000,8,99,X,,
Jefferson City;USA: Missouri;USA;149807;1;3;;;;Jefferson City,USA: Missouri,149807,1,3,,,
Jeju;South Korea;;486306;10;10;;;;Jeju,South Korea,486306,10,10,,,
Jeonju;South Korea;;645108;10;11;;;;Jeonju,South Korea,645108,10,11,,,
Jersey;Crown Dependencies;;107800;1;51;X;;;Jersey,Crown Dependencies,107800,1,51,X,,
Jerusalem;Israel;;732100;10;83;;;;Jerusalem,Israel,732100,10,83,,,
Jilin city;China: Jilin;;3623713;2;11;;;;Jilin city,China: Jilin,3623713,2,11,,,
Jinan;China: Jinan;;4789000;8;123;;;;Jinan,China: Jinan,4789000,8,123,,,
Jinzhou;China: Liaoning;;2907354;4;11;X;;;Jinzhou,China: Liaoning,2907354,4,11,X,,
Jiuquan Satellite Launch Center;China: Inner Mongolia;;1400;4;20;;X;;Jiuquan Satellite Launch Center,China: Inner Mongolia,1400,4,20,,X,
Jiuzhaigou;China: Chengdu;;13593;1;27;;X;;Jiuzhaigou,China: Chengdu,13593,1,27,,X,
Jodhpur;India: North West;India;2330000;8;56;;X;;Jodhpur,India: North West,2330000,8,56,,X,
Johannesburg;South Africa;;3888180;10;99;;;;Johannesburg,South Africa,3888180,10,99,,,
Joplin;USA: Missouri;USA;210077;1;4;;X;;Joplin,USA: Missouri,210077,1,4,,X,
Jos;Nigeria;;816814;6;11;;;;Jos,Nigeria,816814,6,11,,,
Juarez;Mexico;;1321000;5;11;;;;Juarez,Mexico,1321000,5,11,,,
Juba;South Sudan;;250000;5;45;;;;Juba,South Sudan,250000,5,45,,,
Juneau;USA: Alaska;USA;31685;1;60;X;;;Juneau,USA: Alaska,31685,1,60,X,,
Jurassic Park;Costa Rica;;1000;1;200;X;X;;Jurassic Park,Costa Rica,1000,1,200,X,X,
Kabul;Afghanistan;;3122000;5;44;;;;Kabul,Afghanistan,3122000,5,44,,,
Kadmat;India: South;India;6398;1;11;;;;Kadmat,India: South,6398,1,11,,,
Kaduna & Zaria;Nigeria;;2557255;6;11;;;;Kaduna & Zaria,Nigeria,2557255,6,11,,,
Kaesong;North Korea;;338155;10;11;;;;Kaesong,North Korea,338155,10,11,,,
Kaga Bandoro;Central African Republic;;56520;1;11;;;;Kaga Bandoro,Central African Republic,56520,1,11,,,
Kainuun Military bases;Finland;;2000;7;11;;;;Kainuun Military bases,Finland,2000,7,11,,,
Kairouan;Tunisia;;119794;4;11;;;;Kairouan,Tunisia,119794,4,11,,,
Kakinada;India: South;India;443028;5;10;X;X;;Kakinada,India: South,443028,5,10,X,X,
Kaliningrad;Russia: Kaliningrad;;431402;6;23;X;X;;Kaliningrad,Russia: Kaliningrad,431402,6,23,X,X,
Kalmunai;Sri Lanka;;2800000;8;11;X;;;Kalmunai,Sri Lanka,2800000,8,11,X,,
Kalpeni;India: South;India;4526;1;12;X;X;;Kalpeni,India: South,4526,1,12,X,X,
Kampala;Uganda;;2472633;5;60;;;;Kampala,Uganda,2472633,5,60,,,
Kamsar;Guinea;;113108;1;4;X;;;Kamsar,Guinea,113108,1,4,X,,
Kananga;DR Congo;;463556;6;6;;;;Kananga,DR Congo,463556,6,6,,,
Kandahar;Afghanistan;;391300;2;19;;;;Kandahar,Afghanistan,391300,2,19,,,
Kandalaksha;Russia: Kola South;;35654;4;38;X;;;Kandalaksha,Russia: Kola South,35654,4,38,X,,
Kano;Nigeria;;3626888;5;55;;;;Kano,Nigeria,3626888,5,55,,,
Kanpur;India: Central;India;2920496;8;58;;;;Kanpur,India: Central,2920496,8,58,,,
Kansas City;USA: Missouri;USA;2392035;1;41;;;;Kansas City,USA: Missouri,2392035,1,41,,,
Kant air base;Russia: Central;;1000;2;11;;;;Kant air base,Russia: Central,1000,2,11,,,
Kaohsiung;Taiwan;;1524341;10;90;X;;;Kaohsiung,Taiwan,1524341,10,90,X,,
Karachi;Pakistan;;15461423;10;90;X;;;Karachi,Pakistan,15461423,10,90,X,,
Karaganda;Kazakhstan;;621139;5;15;;X;;Karaganda,Kazakhstan,621139,5,15,,X,
Karaj;Iran;;2512737;4;11;;;;Karaj,Iran,2512737,4,11,,,
Kars Military base;Türkiye;;1000;5;11;;;;Kars Military base,Türkiye,1000,5,11,,,
Kasama;Zambia;;91602;3;17;;;;Kasama,Zambia,91602,3,17,,,
Kashgar;China: Xinjang;;920000;5;22;;;;Kashgar,China: Xinjang,920000,5,22,,,
Kassala;Sudan;;401177;6;11;;;;Kassala,Sudan,401177,6,11,,,
Kathmandu;Nepal;;671846;3;26;;;;Kathmandu,Nepal,671846,3,26,,,
Katowice area;Poland;;1124809;8;11;;;;Katowice area,Poland,1124809,8,11,,,
Kaunas;Lithuania;;570000;7;11;;;;Kaunas,Lithuania,570000,7,11,,,
Kazan;Russia: Volga;;1105289;8;108;X;;;Kazan,Russia: Volga,1105289,8,108,X,,
Kebri Dahar;Ethiopia;;363000;4;11;;;;Kebri Dahar,Ethiopia,363000,4,11,,,
Kem;Russia: Kola South;;13051;1;6;X;X;;Kem,Russia: Kola South,13051,1,6,X,X,
Kenema;Sierra Leone;;200354;1;7;;;;Kenema,Sierra Leone,200354,1,7,,,
Keren;Eritrea;;74800;1;11;;;;Keren,Eritrea,74800,1,11,,,
Kermadec Islands;New Zealand;;1;1;11;X;;;Kermadec Islands,New Zealand,1,1,11,X,,
Kermanshah;Iran;;1083833;7;11;;;;Kermanshah,Iran,1083833,7,11,,,
Khabarovsk;Russia: Far East;;583072;7;64;;;;Khabarovsk,Russia: Far East,583072,7,64,,,
Khamis Mushait & Abha;Saudi Arabia;;598439;6;11;;;;Khamis Mushait & Abha,Saudi Arabia,598439,6,11,,,
Kharga;Egypt;;61021;4;11;;;;Kharga,Egypt,61021,4,11,,,
Kharkiv;Ukraine;;2032400;8;21;;;;Kharkiv,Ukraine,2032400,8,21,,,
Khartoum;Sudan;;3107794;8;55;X;;;Khartoum,Sudan,3107794,8,55,X,,
Khasab;Oman;;17904;6;11;X;;;Khasab,Oman,17904,6,11,X,,
Khon Kaen;Thailand;;141000;6;11;;;;Khon Kaen,Thailand,141000,6,11,,,
Khujand;Tajikistan;;144685;3;11;;;;Khujand,Tajikistan,144685,3,11,,,
